"Longitude" "Latitude" "Longneg" "Depth" "substrate" "substrate_code"
273.85 29.75 -86.15 47.2569444444444 20 3
273.85 29.85 -86.15 44.5555555555556 30 4
273.85 29.95 -86.15 40.7222222222222 30 4
273.85 30.05 -86.15 34.0902777777778 200 5
273.85 30.15 -86.15 30.4166666666667 200 5
273.85 30.25 -86.15 22.9236111111111 200 5
273.85 30.35 -86.15 10.2439024390244 200 5
273.95 28.35 -86.05 468.173611111111 3 2
273.95 28.45 -86.05 386 3 2
273.95 28.55 -86.05 339.791666666667 3 2
273.95 28.65 -86.05 316.638888888889 3 2
273.95 28.75 -86.05 299.520833333333 3 2
273.95 28.85 -86.05 286.402777777778 2 1
273.95 28.95 -86.05 271.555555555556 2 1
273.95 29.05 -86.05 250.854166666667 3 2
273.95 29.15 -86.05 220.909722222222 3 2
273.95 29.25 -86.05 184.715277777778 2 1
273.95 29.35 -86.05 115.402777777778 30 4
273.95 29.45 -86.05 74.8472222222222 20 3
273.95 29.55 -86.05 63.9861111111111 2 1
273.95 29.65 -86.05 46.4375 300 6
273.95 29.75 -86.05 43.7083333333333 200 5
273.95 29.85 -86.05 40.2361111111111 20 3
273.95 29.95 -86.05 35.4027777777778 300 6
273.95 30.05 -86.05 29.5902777777778 200 5
273.95 30.15 -86.05 26.6944444444444 300 6
273.95 30.25 -86.05 19.8373983739837 30 4
274.05 28.35 -85.95 421.763888888889 3 2
274.05 28.45 -85.95 349.347222222222 3 2
274.05 28.55 -85.95 312.354166666667 3 2
274.05 28.65 -85.95 292.222222222222 2 1
274.05 28.75 -85.95 274.020833333333 2 1
274.05 28.85 -85.95 260.458333333333 20 3
274.05 28.95 -85.95 241.173611111111 2 1
274.05 29.05 -85.95 217.590277777778 3 2
274.05 29.15 -85.95 192.298611111111 30 4
274.05 29.25 -85.95 148.847222222222 20 3
274.05 29.35 -85.95 73.1111111111111 30 4
274.05 29.45 -85.95 52.625 20 3
274.05 29.55 -85.95 43.3888888888889 30 4
274.05 29.65 -85.95 40.7569444444444 20 3
274.05 29.75 -85.95 39.8819444444444 200 5
274.05 29.85 -85.95 38.1736111111111 30 4
274.05 29.95 -85.95 34.2430555555556 200 5
274.05 30.05 -85.95 29.8611111111111 200 5
274.05 30.15 -85.95 23.8888888888889 200 5
274.05 30.25 -85.95 16.9264705882353 200 5
274.15 28.25 -85.85 475.979166666667 2 1
274.15 28.35 -85.85 378.159722222222 3 2
274.15 28.45 -85.85 319.0625 2 1
274.15 28.55 -85.85 286.583333333333 2 1
274.15 28.65 -85.85 265.979166666667 2 1
274.15 28.75 -85.85 245.5 3 2
274.15 28.85 -85.85 228.493055555556 3 2
274.15 28.95 -85.85 209.625 2 1
274.15 29.05 -85.85 193.333333333333 30 4
274.15 29.15 -85.85 163.270833333333 3 2
274.15 29.25 -85.85 110.361111111111 2 1
274.15 29.35 -85.85 57.0416666666667 30 4
274.15 29.45 -85.85 41.7430555555556 30 4
274.15 29.55 -85.85 37.9930555555556 30 4
274.15 29.65 -85.85 36.6875 30 4
274.15 29.75 -85.85 36.4791666666667 20 3
274.15 29.85 -85.85 34.1805555555556 20 3
274.15 29.95 -85.85 30.3055555555556 200 5
274.15 30.05 -85.85 25.2291666666667 20 3
274.15 30.15 -85.85 18.9545454545455 20 3
274.25 28.25 -85.75 427.027777777778 20 3
274.25 28.35 -85.75 342.784722222222 20 3
274.25 28.45 -85.75 289.333333333333 20 3
274.25 28.55 -85.75 258.75 2 1
274.25 28.65 -85.75 235.631944444444 3 2
274.25 28.75 -85.75 214.583333333333 20 3
274.25 28.85 -85.75 199.298611111111 2 1
274.25 28.95 -85.75 186.305555555556 3 2
274.25 29.05 -85.75 173.854166666667 3 2
274.25 29.15 -85.75 124.083333333333 3 2
274.25 29.25 -85.75 84.7569444444444 2 1
274.25 29.35 -85.75 50.9722222222222 30 4
274.25 29.45 -85.75 36.1597222222222 30 4
274.25 29.55 -85.75 32.1319444444444 30 4
274.25 29.65 -85.75 30.3402777777778 30 4
274.25 29.75 -85.75 31.5625 30 4
274.25 29.85 -85.75 29.9236111111111 30 4
274.25 29.95 -85.75 25.7430555555556 20 3
274.25 30.05 -85.75 19.7152777777778 20 3
274.25 30.15 -85.75 10.7866666666667 20 3
274.35 28.15 -85.65 485.576388888889 20 3
274.35 28.25 -85.65 379.881944444444 20 3
274.35 28.35 -85.65 309.416666666667 20 3
274.35 28.45 -85.65 259.215277777778 2 1
274.35 28.55 -85.65 226.298611111111 2 1
274.35 28.65 -85.65 208.583333333333 2 1
274.35 28.75 -85.65 190.847222222222 3 2
274.35 28.85 -85.65 179.576388888889 3 2
274.35 28.95 -85.65 167.555555555556 3 2
274.35 29.05 -85.65 149.291666666667 3 2
274.35 29.15 -85.65 112.576388888889 3 2
274.35 29.25 -85.65 68.3263888888889 30 4
274.35 29.35 -85.65 46.1736111111111 30 4
274.35 29.45 -85.65 27.3888888888889 30 4
274.35 29.55 -85.65 26.0694444444444 30 4
274.35 29.65 -85.65 27.7777777777778 30 4
274.35 29.75 -85.65 27.3125 30 4
274.35 29.85 -85.65 24.8125 20 3
274.35 29.95 -85.65 21.9097222222222 20 3
274.35 30.05 -85.65 13.024 20 3
274.45 28.15 -85.55 432.25 20 3
274.45 28.25 -85.55 339.75 20 3
274.45 28.35 -85.55 276.611111111111 20 3
274.45 28.45 -85.55 226.458333333333 2 1
274.45 28.55 -85.55 203.854166666667 3 2
274.45 28.65 -85.55 190.597222222222 3 2
274.45 28.75 -85.55 173.347222222222 3 2
274.45 28.85 -85.55 159.423611111111 2 1
274.45 28.95 -85.55 140.868055555556 2 1
274.45 29.05 -85.55 101.777777777778 2 1
274.45 29.15 -85.55 87.9305555555556 30 4
274.45 29.25 -85.55 60.4930555555556 20 3
274.45 29.35 -85.55 38.4583333333333 30 4
274.45 29.45 -85.55 21.2083333333333 30 4
274.45 29.55 -85.55 19.7013888888889 30 4
274.45 29.65 -85.55 23.3472222222222 30 4
274.45 29.75 -85.55 22.4583333333333 20 3
274.45 29.85 -85.55 19.9722222222222 30 4
274.45 29.95 -85.55 13.1870503597122 20 3
274.55 28.05 -85.45 481.625 20 3
274.55 28.15 -85.45 378.590277777778 20 3
274.55 28.25 -85.45 298.027777777778 20 3
274.55 28.35 -85.45 239.229166666667 20 3
274.55 28.45 -85.45 201.555555555556 3 2
274.55 28.55 -85.45 188.020833333333 3 2
274.55 28.65 -85.45 175.222222222222 3 2
274.55 28.75 -85.45 151.298611111111 2 1
274.55 28.85 -85.45 125.8125 30 4
274.55 28.95 -85.45 105.486111111111 20 3
274.55 29.05 -85.45 58.4097222222222 30 4
274.55 29.15 -85.45 53.4166666666667 20 3
274.55 29.25 -85.45 46.6319444444444 30 4
274.55 29.35 -85.45 34.3194444444444 300 6
274.55 29.45 -85.45 23.3472222222222 30 4
274.55 29.55 -85.45 12.3333333333333 30 4
274.55 29.65 -85.45 13.9097222222222 20 3
274.55 29.75 -85.45 12.758865248227 30 4
274.65 28.05 -85.35 415.284722222222 3 2
274.65 28.15 -85.35 325.916666666667 3 2
274.65 28.25 -85.35 257.381944444444 3 2
274.65 28.35 -85.35 207.576388888889 2 1
274.65 28.45 -85.35 184.854166666667 20 3
274.65 28.55 -85.35 172.979166666667 3 2
274.65 28.65 -85.35 158.034722222222 3 2
274.65 28.75 -85.35 126.743055555556 20 3
274.65 28.85 -85.35 99.0208333333333 20 3
274.65 28.95 -85.35 75.4513888888889 20 3
274.65 29.05 -85.35 46.1527777777778 30 4
274.65 29.15 -85.35 41.0833333333333 30 4
274.65 29.25 -85.35 38.0208333333333 30 4
274.65 29.35 -85.35 29.4097222222222 30 4
274.65 29.45 -85.35 25.6666666666667 300 6
274.65 29.55 -85.35 12.8611111111111 30 4
274.75 27.95 -85.25 432.930555555556 3 2
274.75 28.05 -85.25 353.569444444444 3 2
274.75 28.15 -85.25 279.069444444444 3 2
274.75 28.25 -85.25 221.152777777778 3 2
274.75 28.35 -85.25 184.138888888889 20 3
274.75 28.45 -85.25 170.444444444444 3 2
274.75 28.55 -85.25 156.8125 3 2
274.75 28.65 -85.25 140.298611111111 30 4
